"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "CSS", "Markdown", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\database\user.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 7, 97
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\middleware\checkAuth.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Docente.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Estudiante.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\Grupo.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\models\user.model.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\Docente.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\Estudiante.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\Grupo.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\authService.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 4, 9, 98
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\service\user.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\multer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\Docente.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 80, 8, 105
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\Estudiante.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 80, 8, 105
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\Grupo.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 80, 8, 102
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\authRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\swagger.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 5, 38
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\package-lock.json", "JSON", 0, 0, 5363, 0, 0, 0, 0, 0, 0, 1, 5364
