"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\Grupo.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 80, 8, 102
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\routes\authRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\andre\OneDrive\Documents\Entrega Final\BACKEND-INSTRUMENTACION\src\v1\swagger.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 5, 38
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Docente.html", "HTML", 0, 0, 0, 0, 0, 0, 179, 0, 0, 34, 213
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Inicio.html", "HTML", 0, 0, 0, 0, 0, 0, 50, 0, 0, 4, 54
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Login.html", "HTML", 0, 0, 0, 0, 0, 0, 261, 0, 0, 37, 298
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practica.html", "HTML", 0, 0, 0, 0, 0, 0, 131, 0, 0, 16, 147
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_1.html", "HTML", 0, 0, 0, 0, 0, 0, 450, 0, 0, 26, 476
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_2.html", "HTML", 0, 0, 0, 0, 0, 0, 425, 0, 0, 22, 447
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_3.html", "HTML", 0, 0, 0, 0, 0, 0, 437, 0, 0, 19, 456
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\Practicas_4.html", "HTML", 0, 0, 0, 0, 0, 0, 479, 0, 0, 24, 503
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\indicadores.html", "HTML", 0, 0, 0, 0, 0, 0, 280, 0, 0, 23, 303
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\logros.html", "HTML", 0, 0, 0, 0, 0, 0, 205, 0, 0, 22, 227
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\andre\OneDrive\Documents\Entrega Final\Componentes\record.html", "HTML", 0, 0, 0, 0, 0, 0, 204, 0, 0, 34, 238
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\package-lock.json", "JSON", 5363, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5364
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\App.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 2, 5, 43
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\Mui\AppMui.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 0, 0, 2, 4, 95
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\appbar\appbar.jsx", "JavaScript JSX", 0, 0, 216, 0, 0, 0, 0, 0, 1, 14, 231
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\sideNav\side.jsx", "JavaScript JSX", 0, 0, 185, 0, 0, 0, 0, 0, 2, 12, 199
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\components\styled\style.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\index.css", "CSS", 0, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\Mainlayout.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
